	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
25	Four Women	Nina Simone		Wild is the Wind		Soul	10733420	268			2.0		1966.0	5/30/12, 6:00 AM	5/30/12, 5:56 AM	320	44100		MPEG audio file		++tagged using an unregistered copy of Rip'N'Tagit++	1.0	7/10/12, 12:09 AM			60.0
26	Work Song	West Coast Pop Art Experimental Band		Volume One		Rock	2699611	134			2.0	22.0	1966.0	3/11/14, 6:57 PM	7/3/08, 10:11 PM	160	44100		MPEG audio file							60.0
27	You Didn't Have Be So Nice	Astrud Gilberto		Beach Samba		Jazz	6517534	162			11.0		1967.0	5/30/12, 5:35 AM	6/2/12, 4:41 PM	320	44100		MPEG audio file							60.0
28	Magical Mystery Tour	The Beatles	John Lennon, Paul McCartney	Magical Mystery Tour		Pop	2745833	171	1.0	1.0	1.0	11.0	1967.0	12/23/06, 10:53 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
29	Light My Fire	The Doors	The Doors	The Doors		Rock	6902119	428	1.0	1.0	6.0	11.0	1967.0	4/19/05, 11:15 PM	7/3/08, 10:10 PM	128	44100		AAC audio file							60.0
30	Diary Of A Narcissist (I'm So Pretty)	The Herd		I Can Fly		Rock	2636917	131			12.0	18.0	1967.0	3/11/14, 6:19 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file			1.0	8/10/08, 3:22 PM			60.0
31	European Son	The Velvet Underground	Lou Reed, John Cale, Maureen Tucker, Sterling Morrison	The Velvet Underground & Nico		Alternative & Punk	7561947	466			11.0	11.0	1967.0	5/7/05, 8:39 PM	7/3/08, 10:11 PM	128	44100		AAC audio file			5.0	9/17/13, 8:47 PM			60.0
32	Dust	13Th Floor Elevators	Roky Erickson/Tommy Hall	Easter Everywhere		Psychedelic	3887416	242			7.0		1967.0	5/5/08, 2:43 AM	2/20/09, 1:19 AM	128	44100		MPEG audio file		 0000017F 000002E6 000008B6 00000FE6 00007575 00007575 00005AC0 0000689C 0001ADC7 0000EA77	1.0	2/20/09, 1:50 AM			60.0
33	Ob-La-Di, Ob-La-Da	The Beatles	Lennon/McCartney	The Beatles (White Album) [Disc 1]		Rock	3780090	188	1.0	2.0	4.0	17.0	1968.0	8/14/07, 5:23 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file			4.0	3/13/14, 11:27 AM			60.0
34	Rocky Racoon	The Beatles	Lennon/McCartney	The Beatles (White Album) [Disc 1]		Rock	4427922	221	1.0	2.0	13.0	17.0	1968.0	8/14/07, 5:24 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file			2.0	12/25/13, 5:08 PM			60.0
35	Birthday	The Beatles	Lennon/McCartney	The Beatles (White Album) [Disc 2]		Rock	3260244	162	2.0	2.0	1.0	13.0	1968.0	8/22/07, 10:04 PM	7/3/08, 10:10 PM	160	44100		MPEG audio file			3.0	12/25/13, 5:54 PM			60.0
