	Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating
61	Movement 3	Haswell & Hecker		Blackest Ever Black		Musique Concrete	13686320	525			3.0		2007.0	10/8/11, 6:12 PM	10/8/11, 10:05 PM	208	44100		MPEG audio file		EAC (Secure Mode)	1.0	1/22/12, 10:47 PM			40.0
62	Two Step Blues (featuring Darien Brockington)	Little Brother		Get Back		Hip-Hop	4445038	222	1.0	1.0	8.0	11.0	2007.0	1/6/08, 1:27 AM	7/3/08, 10:09 PM	160	44100		MPEG audio file							40.0
63	Wanna Lick	Lil Kim 50 Cent		DJ Chuck T Lil Kim and Trina-The Queens Reign Supreme Bootleg		Rap	1945319	104			20.0		2008.0	4/2/08, 8:06 PM	2/8/09, 10:04 PM	148	44100		MPEG audio file		www.MIXFIEND.com					40.0
64	Lollipop (featuring Static Major)	Lil Wayne	S. Garrett	Tha Carter III		Rap	9585519	299	1.0	2.0	12.0	16.0	2008.0	2/11/09, 9:23 PM	2/7/09, 8:41 PM	256	44100		AAC audio file							40.0
65	Yüksek Sadakat - İçimde Yağmur	Yüksek Sadakat		Katil and Maktul		House	4095260	255				10.0	2008.0	2/10/09, 10:37 PM	2/10/09, 10:35 PM	128	44100		MPEG audio file							40.0
66	the lie (lv remix)	Zomby		The Lie Vinyl		Electronic	6263689	273			3.0		2008.0	12/14/08, 11:10 AM	3/2/09, 5:14 AM	182	44100		MPEG audio file							40.0
67	Unusual You	Britney Spears		Circus		Pop	10459793	260				13.0	2009.0	3/11/14, 5:46 PM	2/8/09, 4:55 AM	320	44100		MPEG audio file							40.0
68	so far away from the sea	Yüksek		Away from the sea		House	4725570	196			7.0	13.0	2009.0	2/12/09, 6:38 PM	2/7/09, 4:26 PM	192	44100		MPEG audio file							40.0
69	Lover Of Mine	Beach House		Teen Dream		Dreampop	8887060	306	1.0	1.0	6.0		2010.0	1/17/11, 5:37 PM	7/19/10, 4:53 PM	218	44100		MPEG audio file			2.0	7/26/13, 2:28 PM			40.0
70	Real Love	Beach House		Teen Dream		Dreampop	9206211	323	1.0	1.0	9.0		2010.0	1/17/11, 5:37 PM	7/19/10, 4:53 PM	214	44100		MPEG audio file							40.0
71	Infinity Guitars	Sleigh Bells		Treats		Indie Rock	4698772	151			4.0		2010.0	3/11/14, 3:49 PM	7/14/10, 7:42 PM	247	44100		MPEG audio file		Encoded by FLAC v1.1.4a with FLAC Frontend v1.7.1 			1.0	3/3/14, 2:56 PM	40.0
72	Dropped From The Sky	Amon Tobin		ISAM		Electronic	17271329	430			12.0	13.0	2011.0	7/24/11, 9:17 PM	7/25/11, 12:20 AM	320	44100		MPEG audio file			2.0	12/28/11, 4:42 PM			40.0
