	Name	Artist	Composer_x	Album	Grouping_x	Genre_x	Size_x	Time_x	Disc Number_x	Disc Count_x	Track Number_x	Track Count_x	Year_x	Date Modified_x	Date Added_x	Bit Rate_x	Sample Rate_x	Volume Adjustment_x	Kind_x	Equalizer_x	Comments_x	Plays_x	Last Played_x	Skips_x	Last Skipped_x	My Rating_x	Composer_y	Grouping_y	Genre_y	Size_y	Time_y	Disc Number_y	Disc Count_y	Track Number_y	Track Count_y	Year_y	Date Modified_y	Date Added_y	Bit Rate_y	Sample Rate_y	Volume Adjustment_y	Kind_y	Equalizer_y	Comments_y	Plays_y	Last Played_y	Skips_y	Last Skipped_y	My Rating_y	Location	My Rating	Composer	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped
10	When I Get Home	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2208301	138	1.0	1.0	11.0	13.0	1964.0	12/23/06, 9:27 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			0.0		0.0					Rock	24722012	140			11	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			0.0		0.0			Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:11 When I Get Home.wav				Rock	24722012	140			11	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			0.0		0.0	
11	You Can't Do That	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2509041	157	1.0	1.0	12.0	13.0	1964.0	12/23/06, 9:27 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			4.0	2/20/09, 2:37 PM	0.0		100.0			Rock	27908972	158			12	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:12 You Can't Do That.wav	100.0			Rock	27908972	158			12	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0	
12	I'll Be Back	The Beatles	Lennon McCartney/McCartney	A Hard Day's Night		Rock	2294867	140	1.0	1.0	13.0	13.0	1964.0	12/23/06, 9:27 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	2/19/09, 2:31 AM	0.0					Rock	25208876	142			13	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0			Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:03_-_A_Hard_Day's_Night:13 I'll Be Back.wav				Rock	25208876	142			13	13.0	1964.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0	
13	Help!	The Beatles	The Beatles	Help!		Rock	2257437	141	1.0	1.0	1.0	14.0	1965.0	12/23/06, 9:21 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			4.0	2/23/14, 6:57 PM	0.0		80.0	The Beatles		Rock	24884204	141	1.0	1.0	1	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:01 Help!.wav	80.0	The Beatles		Rock	24884204	141	1.0	1.0	1	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0	
14	The Night Before	The Beatles	The Beatles	Help!		Rock	2518005	156	1.0	1.0	2.0	14.0	1965.0	12/23/06, 9:21 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			4.0	2/23/14, 6:59 PM	0.0		80.0	The Beatles		Rock	27643100	156	1.0	1.0	2	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:02 The Night Before.wav	80.0	The Beatles		Rock	27643100	156	1.0	1.0	2	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0	
15	You've Got To Hide Your Love Away	The Beatles	The Beatles	Help!		Rock	2106198	131	1.0	1.0	3.0	14.0	1965.0	12/23/06, 9:22 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			4.0	2/23/14, 7:01 PM	1.0	2/20/09, 1:26 PM	100.0	The Beatles		Rock	23183708	131	1.0	1.0	3	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:03 You've Got To Hide Your Love Away.wav	100.0	The Beatles		Rock	23183708	131	1.0	1.0	3	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			4.0		0.0	
16	I Need You	The Beatles	The Beatles	Help!		Rock	2426751	151	1.0	1.0	4.0	14.0	1965.0	12/23/06, 9:22 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			9.0	6/17/14, 8:35 PM	1.0	2/20/09, 2:46 PM	100.0	The Beatles		Rock	26725820	151	1.0	1.0	4	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			9.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:04 I Need You.wav	100.0	The Beatles		Rock	26725820	151	1.0	1.0	4	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			9.0		0.0	
17	Another Girl	The Beatles	The Beatles	Help!		Rock	2048914	128	1.0	1.0	5.0	14.0	1965.0	12/23/06, 9:22 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			7.0	6/17/14, 8:38 PM	2.0	2/17/09, 5:38 PM		The Beatles		Rock	22579244	128	1.0	1.0	5	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			7.0		0.0			Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:05 Another Girl.wav		The Beatles		Rock	22579244	128	1.0	1.0	5	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			7.0		0.0	
18	You're Gonna Lose That Girl	The Beatles	The Beatles	Help!		Rock	2256965	140	1.0	1.0	6.0	14.0	1965.0	12/23/06, 9:22 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			5.0	8/30/13, 6:42 PM	1.0	6/17/14, 8:38 PM	80.0	The Beatles		Rock	24771308	140	1.0	1.0	6	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			5.0		0.0		80.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:06 You're Gonna Lose That Girl.wav	80.0	The Beatles		Rock	24771308	140	1.0	1.0	6	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			5.0		0.0	
19	Ticket to Ride	The Beatles	The Beatles	Help!		Rock	3084511	192	1.0	1.0	7.0	14.0	1965.0	12/23/06, 9:22 PM	7/3/08, 10:10 PM	128	44100		AAC audio file			2.0	8/13/13, 6:03 AM	1.0	6/17/14, 8:38 PM	100.0	The Beatles		Rock	33958220	192	1.0	1.0	7	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0		100.0	Macintosh HD:Users:probraino:Music:iTunes:iTunes Media:Music:The Beatles:05_-_Help!:07 Ticket to Ride.wav	100.0	The Beatles		Rock	33958220	192	1.0	1.0	7	14.0	1965.0	6/24/14, 2:14 PM	6/24/14, 2:14 PM	1411	44100		WAV audio file			2.0		0.0	
